scan_date,ticker,direction,recommended_contract,recommended_dte,recommended_volume,recommended_oi,recommended_spread_pct,overnight_score,premium_score,active_days_20d,median_vol_20d,mean_vol_20d,max_vol_20d,scan_day_vs_mean_ratio,fillable_entry_day,next_day_pct,day2_pct,day3_pct,peak_return_3d,outcome_tier,is_win,ad_1,ad_5,ad_10,ad_25,ad_50
2026-04-13,LYV,BULLISH,O:LYV260515C00180000,31,1503,1505,0.0723,6,0,5,0.0,75.35,1503,19.946914399469147,True,0.3379186454844775,-5.973927513746832,-3.095585120751493,1.7077015760064047,directional,True,5,1,1,1,1
2026-04-13,MDGL,BULLISH,O:MDGL260515C00580000,31,45,2,0.043,3,0,2,0.0,0.1,1,45.0,False,-0.1293605809015083,-1.3487516712302794,-0.173110551177537,2.5681478703666354,directional,True,2,0,0,0,0
2026-04-13,LYFT,BULLISH,O:LYFT260501C00012500,17,30,9,0.0,4,0,6,0.0,0.65,5,30.0,False,0.8088238099042133,7.794116525089042,8.235296081094184,10.220586552339444,home_run,True,6,1,0,0,0
2026-04-13,MMM,BEARISH,O:MMM260501P00152500,17,10,1,0.0,2,1,1,0.0,0.05,1,10.0,True,-0.1570763454690618,-1.0144607021637082,-1.4660625356647554,1.7671337535894802,directional,True,1,0,0,0,0
2026-04-13,LITE,BULLISH,O:LITE260508C00925000,24,16,1,0.0764,6,0,1,0.0,0.05,1,16.0,False,-2.1109325251562483,-5.414494161295594,2.3003249274690707,3.880941967719077,strong,True,1,0,0,0,0
2026-04-13,NOG,BULLISH,O:NOG260515C00028000,31,10,824,0.0876,6,0,15,4.0,11.45,42,0.8733624454148472,True,-5.796037031636905,-5.099043142944252,-5.355835520687655,-1.5407184424508835,wrong,False,15,10,7,4,0
2026-04-13,MELI,BULLISH,O:MELI260529C01890000,45,24,0,0.0321,5,0,0,0.0,0.0,0,24.0,False,0.4765484587122562,2.1938608526083114,-0.534954671695292,3.251761803125661,strong,True,0,0,0,0,0
2026-04-13,NBIS,BULLISH,O:NBIS260529C00190000,45,31,0,0.0854,8,0,0,0.0,0.0,0,31.0,True,4.774846300081681,7.899847484770274,6.974635311782235,9.155025047791916,home_run,True,0,0,0,0,0
2026-04-13,MTN,BEARISH,O:MTN260515P00120000,31,62,193,0.0952,2,0,10,0.5,11.55,100,5.367965367965367,True,-0.8142609331790649,-1.4979292306505947,-0.6683072986681954,3.303120868475985,strong,True,10,5,3,3,2
2026-04-13,OMC,BEARISH,O:OMC260515P00075000,31,13,2460,0.0206,2,1,17,9.5,532.9,3840,0.0243948207918934,True,0.6315833643863076,1.9605235049599092,3.6315817581979855,0.1842097232216283,flat,False,17,12,10,3,3
2026-04-13,NEE,BEARISH,O:NEE260515P00097500,31,800,56,0.0249,5,0,6,0.0,3.25,50,246.15384615384616,True,-1.072592027525728,-1.1484313501955212,-0.509207116950498,2.5135391582517914,directional,True,6,2,2,1,1
2026-04-13,MTSI,BULLISH,O:MTSI260515C00270000,31,13,128,0.0896,4,0,11,1.0,2.45,17,5.306122448979592,True,0.1100077486380076,-0.9369177779048744,-0.8382910034008347,0.9179485616086008,flat,False,11,4,1,0,0
2026-04-13,MTZ,BULLISH,O:MTZ260515C00400000,31,15,415,0.0,4,0,5,0.0,21.35,404,0.702576112412178,False,0.0930145393072052,-0.1313069828426374,-2.0270784712248697,1.6605102221823247,directional,True,5,2,2,1,1
2026-04-13,NEM,BULLISH,O:NEM260522C00122000,38,10,2,0.0,4,0,2,0.0,0.2,3,10.0,False,2.4034360959294525,-2.9699562956846832,-2.652357371579936,3.1931340950241416,strong,True,2,0,0,0,0
2026-04-13,NCLH,BEARISH,O:NCLH260529P00020000,45,68,0,0.0491,5,0,0,0.0,0.0,0,68.0,True,4.096743102605573,4.244821516453094,-1.1352384667052997,1.1845979379878069,directional,True,0,0,0,0,0
2026-04-13,NVMI,BULLISH,O:NVMI260515C00520000,31,11,5,0.0124,4,0,1,0.0,0.05,1,11.0,True,1.577821686463331,2.0511592362939624,1.4180562694761705,3.4968364328787302,strong,True,1,0,0,0,0
2026-04-13,PGR,BULLISH,O:PGR260515C00200000,31,115,159,0.0787,4,0,13,3.0,5.0,22,23.0,True,-1.493212237365019,0.8317862041083677,1.954202144963237,2.866158884668447,directional,True,13,9,5,0,0
2026-04-13,NOW,BEARISH,O:NOW260522P00091000,38,110,17,0.0672,6,1,3,0.0,7.3,110,15.068493150684931,False,-1.426003912500178,5.760164430054174,8.28655113564591,2.178303675519841,directional,True,3,2,2,2,1
2026-04-13,PGY,BEARISH,O:PGY260515P00011000,31,17,548,0.087,2,1,16,22.0,28.95,100,0.5872193436960277,True,4.246796705783938,13.782049753727051,17.868590049254585,-1.7628189844962845,wrong,False,16,14,12,9,3
2026-04-13,ODD,BEARISH,O:ODD260424P00013500,10,20,60,0.0,4,0,2,0.0,3.0,40,6.666666666666667,False,0.979708223763346,5.738276113906557,4.898528839175402,0.4198772411733452,flat,False,2,2,2,1,0
2026-04-13,PCG,BULLISH,O:PCG260529C00018000,45,10007,0,0.0606,5,0,0,0.0,0.0,0,10007.0,True,-1.014659154777991,-1.9729459433571648,-2.0856773436674185,0.5073276420859991,flat,False,0,0,0,0,0
2026-04-13,RIOT,BULLISH,O:RIOT260529C00021000,45,200,0,0.0,4,0,0,0.0,0.0,0,200.0,True,4.317794123393192,0.2878530586870714,-2.5906731359012998,8.865859800875695,home_run,True,0,0,0,0,0
2026-04-13,RBLX,BEARISH,O:RBLX260522P00055000,38,10,3,0.0597,5,1,3,0.0,0.2,2,10.0,True,1.1099535849125048,3.694070266263176,4.8213642502757335,1.6996179237325968,directional,True,3,0,0,0,0
2026-04-13,SBET,BEARISH,O:SBET260529P00007000,45,556,0,0.0282,4,1,0,0.0,0.0,0,556.0,True,6.567162186352171,12.985077188975772,15.522384643554684,-4.92537626579626,wrong,False,0,0,0,0,0
2026-04-13,PANW,BULLISH,O:PANW260501C00167500,17,12,0,0.0764,6,0,0,0.0,0.0,0,12.0,True,-0.5661212615281311,0.9845551722057544,2.7444472467559744,4.762783828687471,strong,True,0,0,0,0,0
2026-04-13,SBUX,BULLISH,O:SBUX260529C00095000,45,10,0,0.0,4,0,0,0.0,0.0,0,10.0,True,1.0155941944020526,0.8822284959895578,0.9027499080340156,1.743947789470432,directional,True,0,0,0,0,0
